year,month,user_account_id,user_lifetime,user_intake,user_no_outgoing_activity_in_days,user_account_balance_last,user_spendings,user_has_outgoing_calls,user_has_outgoing_sms,user_use_gprs,user_does_reload,reloads_inactive_days,reloads_count,reloads_sum,calls_outgoing_count,calls_outgoing_spendings,calls_outgoing_duration,calls_outgoing_spendings_max,calls_outgoing_duration_max,calls_outgoing_inactive_days,calls_outgoing_to_onnet_count,calls_outgoing_to_onnet_spendings,calls_outgoing_to_onnet_duration,calls_outgoing_to_onnet_inactive_days,calls_outgoing_to_offnet_count,calls_outgoing_to_offnet_spendings,calls_outgoing_to_offnet_duration,calls_outgoing_to_offnet_inactive_days,calls_outgoing_to_abroad_count,calls_outgoing_to_abroad_spendings,calls_outgoing_to_abroad_duration,calls_outgoing_to_abroad_inactive_days,sms_outgoing_count,sms_outgoing_spendings,sms_outgoing_spendings_max,sms_outgoing_inactive_days,sms_outgoing_to_onnet_count,sms_outgoing_to_onnet_spendings,sms_outgoing_to_onnet_inactive_days,sms_outgoing_to_offnet_count,sms_outgoing_to_offnet_spendings,sms_outgoing_to_offnet_inactive_days,sms_outgoing_to_abroad_count,sms_outgoing_to_abroad_spendings,sms_outgoing_to_abroad_inactive_days,sms_incoming_count,sms_incoming_spendings,sms_incoming_from_abroad_count,sms_incoming_from_abroad_spendings,gprs_session_count,gprs_usage,gprs_spendings,gprs_inactive_days,last_100_reloads_count,last_100_reloads_sum,last_100_calls_outgoing_duration,last_100_calls_outgoing_to_onnet_duration,last_100_calls_outgoing_to_offnet_duration,last_100_calls_outgoing_to_abroad_duration,last_100_sms_outgoing_count,last_100_sms_outgoing_to_onnet_count,last_100_sms_outgoing_to_offnet_count,last_100_sms_outgoing_to_abroad_count,last_100_gprs_usage,Churn
2013,6,13,1000,0,1,0.05,0,1,1,0,0,66,0,0,27,0,1.02,0,0.58,1,2,0,0,1,6,0,0,1,0,0,0,1,6,0,0,5,0,0,5,5,0,5,0,0,5,18,0,0,0,0,0,0,1276,4,12.01,75.27,0,63.43,0,210,1,84,0,0,0
2013,6,14,1000,0,25,28.31,3.45,1,0,0,0,1276,0,0,5,3.45,9.9,1.51,4.33,25,5,3.45,9.9,25,0,0,0,25,5,3.45,9.9,25,0,0,0,1276,0,0,1276,0,0,1276,0,0,1276,0,0,0,0,0,0,0,1276,0,0,13.38,11.18,2,11.18,0,0,0,0,0,0
2013,6,18,1005,0,8,15.62,1.97,1,0,0,0,1276,0,0,18,1.97,14.92,0.89,9.23,8,0,0,0,8,0,0,0,8,6,1.31,10.45,8,0,0,0,1276,0,0,1276,0,0,1276,0,0,1276,7,0,4,0,0,0,0,1276,0,0,30,0,0,10.45,0,0,0,0,0,0
2013,6,27,1013,0,11,5.62,0,1,0,0,0,1276,0,0,1,0,0,0,0,11,0,0,0,11,0,0,0,11,0,0,0,11,0,0,0,1276,0,0,1276,0,0,1276,0,0,1276,0,0,0,0,0,0,0,1276,0,0,0,0,0,0,0,0,0,0,0,1
2013,6,32,1032,0,2,5.86,0.15,1,0,0,1,17,1,6,22,0.15,2.58,0.15,1,2,0,0,0,2,4,0.15,1,2,0,0,0,2,0,0,0,1276,0,0,1276,0,0,1276,0,0,1276,5,0,0,0,0,0,0,1276,1,6,2.58,0,1,0,0,0,0,0,0,0
2013,6,35,1039,0,1,12.51,12.96,1,1,0,1,6,1,17,56,12.96,90.73,2.39,15.95,1,0,0,0,1,15,8.44,56.28,1,0,0,0,1,2,0,0,6,0,0,6,0,0,6,0,0,6,11,0,0,0,0,0,0,1276,3,29,356.65,0,215.83,0,4,1,1,0,0,0
2013,6,36,1040,0,1,16.73,2.34,1,1,0,1,4,1,12,8,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,41,2.34,0.06,1,0,0,1,39,2.34,1,0,0,1,4,0,0,0,0,0,0,1276,1,12,0,0,0,0,112,0,109,0,0,0
2013,6,47,521,0,1,0.66,45.89,1,1,0,1,2,11,48,395,32.93,253.33,2.3,15.35,1,0,0,0,1,129,25.89,172.6,1,0,0,0,1,246,12.96,0.06,1,0,0,1,215,12.72,1,0,0,1,107,0,0,0,0,0,0,1276,35,158,735.87,0,473.5,0,1123,0,1006,0,0,0
2013,6,52,824,0,2,4.49,1.37,1,1,0,1,27,1,12.02,20,1.37,10.77,0.4,2.68,4,0,0,0,4,14,1.22,8.1,4,0,0,0,4,36,0,0,2,0,0,2,0,0,2,0,0,2,10,6,0,0,0,0,0,57,6,30.03,56.22,0,48.02,0,122,1,1,0,2.77,0
2013,6,59,867,0,2,90.93,17.99,1,1,0,1,12,1,72.06,88,17.99,121.53,4.09,27.27,2,0,0,0,2,14,17.99,119.95,2,0,0,0,2,16,0,0,4,0,0,4,16,0,4,0,0,4,3,0,0,0,0,0,0,1276,7,108.06,587.85,0,585.55,0,19,0,19,0,0,0
2013,6,60,905,0,1,13.92,11.53,1,1,0,1,1,2,16,28,8.53,147.2,0.77,19,2,0,0,0,2,20,8.23,145,2,0,0,0,2,65,3,0.06,1,0,0,1,50,3,1,0,0,1,17,0,7,0,0,0,0,1276,6,28.01,364.2,0,362,0,191,0,48,5,0,0
2013,6,69,769,0,90,30.01,0,0,0,0,0,90,0,0,0,0,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,1276,0,0,1276,0,0,1276,0,0,0,0,0,0,0,1276,1,5,0,0,0,0,0,0,0,0,0,1
2013,6,73,732,0,28,2.42,3.68,1,1,0,0,30,0,0,7,1.09,4.97,0.69,2.73,28,0,0,0,28,1,0.15,1,28,0,0,0,28,24,2.59,0.11,28,0,0,28,1,0.06,28,0,0,28,3,0,2,0,0,0,0,1276,1,4,15.48,0,1,0,26,0,1,0,0,1
2013,6,76,915,0,9,7.91,0.6,1,1,0,0,1276,0,0,4,0.6,4,0.15,1,23,0,0,0,23,2,0.3,2,23,0,0,0,23,12,0,0,9,0,0,9,10,0,9,0,0,9,5,0,0,0,0,0,0,1276,0,0,8,0,3,0,32,0,25,0,0,0
2013,6,80,596,0,2,0.17,0.81,1,1,0,0,32,0,0,31,0.45,5.77,0.15,1,6,0,0,0,6,21,0.45,3,6,0,0,0,6,6,0.36,0.06,2,0,0,2,6,0.36,2,0,0,2,6,0,0,0,0,0,0,1276,4,3.9,20.23,0,8,0,69,0,63,0,0,0
2013,6,81,591,0,6,35.78,11.66,1,1,0,1,9,1,36.03,38,7.18,48.55,1.52,10.1,9,0,0,0,9,27,5.05,33.68,9,1,0,0,9,63,4.48,0.11,6,22,1.32,6,27,1.62,6,14,1.54,6,25,0,2,0,0,0,0,1276,3,36.03,116.03,0,82.4,0.88,149,39,90,20,0,0
2013,6,82,727,0,2,4.92,7.56,1,0,0,1,12,1,6,60,7.56,33.03,1.35,5.38,2,0,0,0,2,7,0.3,2,2,0,0,0,2,0,0,0,1276,0,0,1276,0,0,1276,0,0,1276,10,0,1,0,0,0,0,1276,4,18.005,85.87,0,4.1,0.97,0,0,0,0,0,0
2013,6,87,584,0,2,3.56,3.46,1,1,0,1,4,1,4,27,3.46,24.45,0.42,2.77,2,0,0,0,2,24,3.46,23.07,2,0,0,0,2,2,0,0,18,0,0,18,0,0,18,0,0,18,42,0,0,0,0,0,0,1276,2,10,55.27,0,53.47,0,4,0,0,0,0,0
2013,6,101,794,0,2,13.84,0,1,0,0,0,1276,0,0,3,0,0.68,0,0.68,2,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,75,0,0,75,0,0,75,0,0,75,7,0,3,0,0,0,0,1276,0,0,6.47,0,5.78,0,1,0,1,0,0,0
2013,6,102,909,0,2,35.88,31.69,1,1,0,1,13,1,36.03,61,30.67,212.5,9,60,2,0,0,0,2,26,30.51,203.37,2,0,0,0,2,19,1.02,0.06,4,0,0,4,19,1.02,4,0,0,4,5,0,0,0,0,0,0,1276,7,114.15,649.93,0,589.17,0,87,0,68,0,0,0
2013,6,104,15885,0,1276,0,0,0,0,0,0,1276,0,0,0,0,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,1276,0,0,1276,0,0,1276,0,0,0,0,0,0,0,1276,0,0,0,0,0,0,0,0,0,0,0,1
2013,6,107,905,0,10,9.25,1.82,1,1,0,0,1276,0,0,16,1.34,8.32,0.3,2,10,0,0,0,10,6,1.05,7,10,0,0,0,10,8,0.48,0.06,10,0,0,10,8,0.48,10,0,0,10,7,0,2,0,0,0,0,1276,0,0,8.28,0,7,0,16,0,16,0,0,0
2013,6,125,1005,0,1,7.04,2.32,1,1,0,0,1276,0,0,26,1.75,17.48,0.17,2.75,1,0,0,0,1,17,1.3,14.13,1,0,0,0,1,7,0.57,0.11,6,0,0,6,4,0.24,6,0,0,6,12,0,1,0,0,0,0,1276,0,0,99.68,5.3,62.5,29.48,53,2,14,6,0,0
2013,6,129,75,0,2,33.91,3.19,1,1,0,1,20,2,29.02,21,1.45,13.95,0.15,2.45,3,0,0,0,3,12,1.2,8,3,2,0.1,1.03,3,36,1.74,0.06,2,8,0.06,2,28,1.68,2,0,0,2,4,0,0,0,0,0,0,61,10,60.015,89.53,1,58.28,7.6,268,12,256,0,2.6,0
2013,6,135,520,0,1,3.99,11.06,1,1,1,1,16,4,14.25,63,8.79,69.73,1.59,10.6,1,0,0,0,1,10,2.87,19.13,1,0,0,0,1,45,2.22,0.06,1,0,0,1,43,2.22,1,0,0,1,16,0,0,0,3,0.32,0.05,26,11,32.15,153.82,0,36.8,0,171,1,156,0,1.86,0
2013,6,136,776,0,1,4.72,4.59,1,1,0,0,30,0,0,47,4.59,27.53,0.99,5.08,1,0,0,0,1,21,2.33,15.5,1,0,0,0,1,14,0,0,11,7,0,11,7,0,11,0,0,11,5,0,1,0,0,0,0,1276,2,12,82.47,0,36.67,0.4,46,28,12,5,0,0
2013,6,138,783,0,1,7.2,27.15,1,1,0,1,8,3,39.02,38,2.15,16.13,0.73,4.87,1,0,0,0,1,12,2.15,14.33,1,0,0,0,1,38,25,2,8,8,0,8,4,0,8,0,0,8,28,16,0,0,0,0,0,1276,8,75.015,128.73,0,106.58,0,58,8,4,0,0,0
2013,6,142,917,0,1,29.42,1.11,1,1,0,0,49,0,0,5,1.11,10,0.51,6,1,0,0,0,1,5,1.11,10,1,0,0,0,1,8,0,0,3,0,0,3,8,0,3,0,0,3,0,0,0,0,0,0,0,1276,1,12,18,0,18,0,9,0,8,0,0,0
2013,6,148,759,0,1,5.9,51.3,1,1,1,1,8,3,23.92,42,4.31,30.38,0.59,3.93,2,0,0,0,2,37,4.31,28.7,2,0,0,0,2,76,2.34,0.06,2,0,0,2,42,2.34,2,0,0,2,17,0,0,0,689,180.99,44.65,1,7,35.92,59.72,2.37,43.27,2.37,120,1,84,0,172.3,0
